Title,Body,Labels,Milestone
"[SPL-P5-010] Add rate-limit middleware stub","Add basic throttling headers.\nDefinition of Done: headers present.\nDepends on: SPL-P5-001","phase:p5,size:5min,type:backend,priority:p1","Phase 5"
"[SPL-P5-011] Add GitHub retry wrapper","Retry transient API failures.\nDefinition of Done: retry helper exists.\nDepends on: SPL-P2-002","phase:p5,size:5min,type:backend,priority:p0","Phase 5"
"[SPL-P5-012] Document DLQ handling","Write failed job handling notes.\nDefinition of Done: doc committed.\nDepends on: SPL-P4-007","phase:p5,size:5min,type:docs,priority:p1","Phase 5"
"[SPL-P5-013] Add health endpoints","Create /health/live and /health/ready.\nDefinition of Done: both return status.\nDepends on: SPL-P0-006","phase:p5,size:5min,type:backend,priority:p0","Phase 5"
"[SPL-P5-014] Add smoke test checklist","Create smoke test checklist.\nDefinition of Done: checklist committed.\nDepends on: SPL-P4-008","phase:p5,size:5min,type:docs,priority:p1","Phase 5"
"[SPL-P5-015] Add DB backup/restore notes","Write backup/restore runbook.\nDefinition of Done: runbook committed.\nDepends on: SPL-P0-009","phase:p5,size:5min,type:docs,priority:p1","Phase 5"

"[SPL-P6-001] Document production env vars","Create complete env var table.\nDefinition of Done: table complete.\nDepends on: SPL-P0-011","phase:p6,size:5min,type:docs,priority:p0","Phase 6"
"[SPL-P6-002] Document secrets naming convention","Define secret naming rules.\nDefinition of Done: doc committed.\nDepends on: SPL-P6-001","phase:p6,size:5min,type:security,priority:p1","Phase 6"
"[SPL-P6-003] Add Dockerfile skeletons","Create web/api/worker Dockerfiles.\nDefinition of Done: placeholder builds.\nDepends on: SPL-P0-012","phase:p6,size:5min,type:infra,priority:p0","Phase 6"
"[SPL-P6-004] Add compose dev override","Enable hot-reload services.\nDefinition of Done: override exists.\nDepends on: SPL-P0-012","phase:p6,size:5min,type:infra,priority:p1","Phase 6"
"[SPL-P6-005] Write cloud options ADR","Record AWS vs Azure tradeoffs.\nDefinition of Done: ADR committed.\nDepends on: SPL-P0-014","phase:p6,size:5min,type:docs,priority:p1","Phase 6"
"[SPL-P6-006] Create infra folder skeleton","Create chosen-cloud infra folders.\nDefinition of Done: folder exists.\nDepends on: SPL-P6-005","phase:p6,size:5min,type:infra,priority:p1","Phase 6"
"[SPL-P6-007] Write staging checklist","Add staging validation steps.\nDefinition of Done: checklist committed.\nDepends on: SPL-P4-014","phase:p6,size:5min,type:docs,priority:p0","Phase 6"
"[SPL-P6-008] Write release checklist","Add release/rollback/verify steps.\nDefinition of Done: checklist committed.\nDepends on: SPL-P6-007","phase:p6,size:5min,type:docs,priority:p0","Phase 6"
"[SPL-P6-009] Write observability baseline","Define metrics/logs/traces.\nDefinition of Done: doc committed.\nDepends on: SPL-P5-003","phase:p6,size:5min,type:docs,priority:p1","Phase 6"
"[SPL-P6-010] Define SLO targets","Set uptime and latency targets.\nDefinition of Done: SLO doc committed.\nDepends on: SPL-P6-009","phase:p6,size:5min,type:docs,priority:p1","Phase 6"
"[SPL-P6-011] Add incident runbook template","Create incident template.\nDefinition of Done: template committed.\nDepends on: SPL-P6-010","phase:p6,size:5min,type:docs,priority:p1","Phase 6"
"[SPL-P6-012] Document webhook URL strategy","Plan public webhook ingress.\nDefinition of Done: doc committed.\nDepends on: SPL-P4-014","phase:p6,size:5min,type:infra,priority:p0","Phase 6"
"[SPL-P6-013] Add CORS/domain checklist","Write CORS and domain checks.\nDefinition of Done: checklist committed.\nDepends on: SPL-P6-007","phase:p6,size:5min,type:security,priority:p1","Phase 6"
"[SPL-P6-014] Create post-deploy verify script placeholder","Add verification script file.\nDefinition of Done: file exists.\nDepends on: SPL-P6-008","phase:p6,size:5min,type:infra,priority:p1","Phase 6"
"[SPL-P6-015] Create launch readiness checklist","Compile go/no-go launch list.\nDefinition of Done: checklist committed.\nDepends on: SPL-P6-008, SPL-P6-013","phase:p6,size:5min,type:docs,priority:p0","Phase 6"
